sender,receiver,edge_type
hodgesc,veletsianos,retweet
hodgesc,FredWBaker,retweet
hodgesc,AECT,retweet
hodgesc,FredWBaker,retweet
DavidGilbertVO,caranorth11,retweet
DavidGilbertVO,AnnaRoseLeach,retweet
DavidGilbertVO,caranorth11,retweet
marshallgjones,AECT,retweet
marshallgjones,AECT,retweet
marshallgjones,hodgesc,retweet
lsbu_crit,veletsianos,retweet
Mohamedmetwa,emergeAfrica,retweet
ELTAugusta,veletsianos,retweet
cherybrown,veletsianos,retweet
AECTTechTrends,hodgesc,retweet
AECTTechTrends,hodgesc,retweet
AECTTechTrends,hodgesc,retweet
AECTTechTrends,HsuBSU,retweet
AECTTechTrends,tadousay,retweet
AECTTechTrends,FredWBaker,retweet
_COER_,veletsianos,retweet
SprintbaseB,FredWBaker,retweet
SprintbaseB,sjojackson,retweet
SURTThomas,AECT,retweet
SURTThomas,tutaleni,retweet
SURTThomas,caranorth11,retweet
SURTThomas,FredWBaker,retweet
SURTThomas,AECT,retweet
SURTThomas,teacherrogers,retweet
SURTThomas,FakeBobGagne,retweet
SURTThomas,AECT,retweet
SURTThomas,FakeBobGagne,retweet
SURTThomas,FakeBobGagne,retweet
SURTThomas,AECT,retweet
SURTThomas,FredWBaker,retweet
SURTThomas,ekowch,retweet
SURTThomas,AECT,retweet
SURTThomas,AECT,retweet
SURTThomas,FakeBobGagne,retweet
SURTThomas,AECT,retweet
SURTThomas,Gaston_teach,retweet
WilsonInEdu,AECT,retweet
WilsonInEdu,hodgesc,retweet
WilsonInEdu,arasbozkurt,retweet
WilsonInEdu,AmyLomellini_ID,retweet
GovenderShanali,nicolapallitt,retweet
TheIDMD,AECT,retweet
jeroen69,PaulineMuljana,retweet
heidilundsgaard,SBarksway,retweet
nataliebmilman,FredWBaker,retweet
veletsianos,EdTech_Books,retweet
veletsianos,tutaleni,retweet
veletsianos,roycekimmons,retweet
teacherrogers,susiegronseth,retweet
teacherrogers,DrVirtuality,retweet
teacherrogers,ChangeIt4Better,retweet
teacherrogers,MeganCMurtaugh,retweet
teacherrogers,rmreese1,retweet
teacherrogers,MuratTurkEd,retweet
teacherrogers,ChangeIt4Better,retweet
teacherrogers,jeroen69,retweet
teacherrogers,hodgesc,retweet
teacherrogers,arasbozkurt,retweet
